?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01001505>	"alpine tundra biome"	
<http://purl.obolibrary.org/obo/ENVO_01000219>	"anthropogenic terrestrial biome"	
<http://purl.obolibrary.org/obo/ENVO_01000197>	"broadleaf forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000196>	"coniferous forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000245>	"cropland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000195>	"flooded grassland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000190>	"flooded savanna biome"	
<http://purl.obolibrary.org/obo/ENVO_01000174>	"forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000177>	"grassland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000181>	"mangrove biome"	
<http://purl.obolibrary.org/obo/ENVO_01000199>	"mediterranean forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000224>	"mediterranean grassland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000229>	"mediterranean savanna biome"	
<http://purl.obolibrary.org/obo/ENVO_01000217>	"mediterranean shrubland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000208>	"mediterranean woodland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000198>	"mixed forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000194>	"montane grassland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000223>	"montane savanna biome"	
<http://purl.obolibrary.org/obo/ENVO_01000216>	"montane shrubland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000247>	"rangeland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000178>	"savanna biome"	
<http://purl.obolibrary.org/obo/ENVO_01000176>	"shrubland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000250>	"subpolar coniferous forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000201>	"subtropical broadleaf forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000209>	"subtropical coniferous forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000225>	"subtropical dry broadleaf forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000191>	"subtropical grassland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000226>	"subtropical moist broadleaf forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000187>	"subtropical savanna biome"	
<http://purl.obolibrary.org/obo/ENVO_01000213>	"subtropical shrubland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000222>	"subtropical woodland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000202>	"temperate broadleaf forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000211>	"temperate coniferous forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000193>	"temperate grassland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000212>	"temperate mixed forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000189>	"temperate savanna biome"	
<http://purl.obolibrary.org/obo/ENVO_01000215>	"temperate shrubland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000221>	"temperate woodland biome"	
<http://purl.obolibrary.org/obo/ENVO_00000446>	"terrestrial biome"	
<http://purl.obolibrary.org/obo/ENVO_01001369>	"tidal mangrove shrubland"	
<http://purl.obolibrary.org/obo/ENVO_01000200>	"tropical broadleaf forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000210>	"tropical coniferous forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000227>	"tropical dry broadleaf forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000192>	"tropical grassland biome"	
<http://purl.obolibrary.org/obo/ENVO_01001798>	"tropical mixed forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000228>	"tropical moist broadleaf forest biome"	
<http://purl.obolibrary.org/obo/ENVO_01000188>	"tropical savanna biome"	
<http://purl.obolibrary.org/obo/ENVO_01000214>	"tropical shrubland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000220>	"tropical woodland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000180>	"tundra biome"	
<http://purl.obolibrary.org/obo/ENVO_01000175>	"woodland biome"	
<http://purl.obolibrary.org/obo/ENVO_01000218>	"xeric shrubland biome"	
